Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Kent County, Maryland",24029,78.6,15201,2060 of 3143
"Lamar County, Texas",48277,78.6,39247,2061 of 3143
"Elmore County, Idaho",16039,78.6,22317,2062 of 3143
"Effingham County, Georgia",13103,78.6,49865,2063 of 3143
"Luce County, Michigan",26095,78.6,4338,2064 of 3143
"Iredell County, North Carolina",37097,78.6,144560,2065 of 3143
"Val Verde County, Texas",48465,78.6,37529,2066 of 3143
"Louisa County, Virginia",51109,78.6,29175,2067 of 3143
"Medina County, Texas",48325,78.5,39631,2068 of 3143
"Humboldt County, Nevada",32013,78.5,13523,2069 of 3143
"Pueblo County, Colorado",08101,78.5,131458,2070 of 3143
"DeSoto County, Florida",12027,78.5,26706,2071 of 3143
"New London County, Connecticut",09011,78.5,211182,2072 of 3143
"Polk County, Georgia",13233,78.5,33499,2073 of 3143
"Pinellas County, Florida",12103,78.5,751619,2074 of 3143
"Fluvanna County, Virginia",51065,78.5,21243,2075 of 3143
"Anderson County, South Carolina",45007,78.4,158601,2076 of 3143
"Allegheny County, Pennsylvania",42003,78.4,977296,2077 of 3143
"Red River County, Texas",48387,78.4,9161,2078 of 3143
"Canyon County, Idaho",16027,78.4,178174,2079 of 3143
"Etowah County, Alabama",01055,78.3,81042,2080 of 3143
"Lavaca County, Texas",48285,78.3,15888,2081 of 3143
"Stone County, Mississippi",28131,78.3,14365,2082 of 3143
"San Jacinto County, Texas",48407,78.2,21421,2083 of 3143
"Mitchell County, Texas",48335,78.2,6962,2084 of 3143
"Eddy County, New Mexico",35015,78.2,47776,2085 of 3143
"Colbert County, Alabama",01033,78.2,44400,2086 of 3143
"Liberty County, Florida",12077,78.1,6240,2087 of 3143
"Harris County, Georgia",13145,78.1,26810,2088 of 3143
"James City County, Virginia",51095,78.1,60711,2089 of 3143
"Parmer County, Texas",48369,78.1,7710,2090 of 3143
"Hardin County, Kentucky",21093,78.1,85984,2091 of 3143
"Franklin County, Alabama",01059,78.1,25008,2092 of 3143
"LaFourche Parish, Louisiana",22057,78.1,76249,2093 of 3143
"Rio Grande County, Colorado",08105,78,8957,2094 of 3143
"Onondaga County, New York",36067,78,370405,2095 of 3143
"Benton County, Washington",53005,78,159628,2096 of 3143
"Jefferson Davis Parish, Louisiana",22053,78,25179,2097 of 3143
"Panola County, Texas",48365,78,17620,2098 of 3143
"Lee County, Florida",12071,78,586690,2099 of 3143
"Canadian County, Oklahoma",40017,77.9,117754,2100 of 3143
"Nye County, Nevada",32023,77.9,39015,2101 of 3143
"Hockley County, Texas",48219,77.9,16876,2102 of 3143
"Highlands County, Florida",12055,77.8,78750,2103 of 3143
"Placer County, California",06061,77.8,311591,2104 of 3143
"Salem County, New Jersey",34033,77.8,50393,2105 of 3143
"Butte County, California",06007,77.8,169550,2106 of 3143
"Union County, Mississippi",28145,77.8,21610,2107 of 3143
"Hemphill County, Texas",48211,77.8,2684,2108 of 3143
"Haskell County, Kansas",20081,77.8,2958,2109 of 3143
"Racine County, Wisconsin",55101,77.8,153515,2110 of 3143
"Greeley County, Kansas",20071,77.7,977,2111 of 3143
"Appomattox County, Virginia",51011,77.7,12466,2112 of 3143
"Calhoun County, Florida",12013,77.7,10772,2113 of 3143
"Hunt County, Texas",48231,77.7,76724,2114 of 3143
"Berks County, Pennsylvania",42011,77.7,331571,2115 of 3143
"Thurston County, Washington",53067,77.6,225666,2116 of 3143
"Marion County, Florida",12083,77.6,287545,2117 of 3143
"Waynesboro City, Virginia",51820,77.6,17194,2118 of 3143
"Morgan County, Alabama",01103,77.6,95132,2119 of 3143
"Hidalgo County, New Mexico",35023,77.6,3269,2120 of 3143
"Berrien County, Michigan",26021,77.5,119609,2121 of 3143
"Gibson County, Tennessee",47053,77.5,38960,2122 of 3143
"Cass County, Texas",48067,77.5,22231,2123 of 3143
"Catawba County, North Carolina",37035,77.5,123814,2124 of 3143
"Limestone County, Alabama",01083,77.4,78382,2125 of 3143
"Rockwall County, Texas",48397,77.4,81467,2126 of 3143
"Crosby County, Texas",48107,77.4,4076,2127 of 3143
"Sawyer County, Wisconsin",55113,77.4,13788,2128 of 3143
"McDonald County, Missouri",29119,77.4,18004,2129 of 3143
"Mendocino County, California",06045,77.3,70801,2130 of 3143
"Mahoning County, Ohio",39099,77.3,177163,2131 of 3143
"Floyd County, Georgia",13115,77.3,75956,2132 of 3143
"Benton County, Arkansas",05007,77.3,215462,2133 of 3143
"Moody County, South Dakota",46101,77.3,4895,2134 of 3143
"Lake County, Florida",12069,77.2,289693,2135 of 3143
"Lafayette County, Florida",12067,77.2,6441,2136 of 3143
"Kankakee County, Illinois",17091,77.2,83434,2137 of 3143
"Chouteau County, Montana",30015,77.2,4549,2138 of 3143
"Ford County, Kansas",20057,77.1,26557,2139 of 3143
"Creek County, Oklahoma",40037,77.1,55442,2140 of 3143
"Lawrence County, Alabama",01079,77.1,25519,2141 of 3143
"Randolph County, Alabama",01111,77.1,16953,2142 of 3143
"Montgomery County, Pennsylvania",42091,77.1,656077,2143 of 3143
"Rock Island County, Illinois",17161,77.1,111548,2144 of 3143
"Knox County, Texas",48275,77,2607,2145 of 3143
"Brown County, Illinois",17009,77,4876,2146 of 3143
"Caroline County, Maryland",24011,77,25599,2147 of 3143
"Tom Green County, Texas",48451,77,91685,2148 of 3143
"Tippah County, Mississippi",28139,76.9,16832,2149 of 3143
"Morris County, New Jersey",34027,76.9,391087,2150 of 3143
"Bacon County, Georgia",13005,76.9,8587,2151 of 3143
"Sterling County, Texas",48431,76.9,1070,2152 of 3143
"Union County, New Mexico",35059,76.9,3169,2153 of 3143
"Sullivan County, New York",36105,76.8,60108,2154 of 3143
"Volusia County, Florida",12127,76.8,421652,2155 of 3143
"Howard County, Texas",48227,76.8,26591,2156 of 3143
"Kent County, Michigan",26081,76.8,502911,2157 of 3143
"Summit County, Ohio",39153,76.7,414742,2158 of 3143
"Carson City, Nevada",32510,76.7,44463,2159 of 3143
"Macon County, Illinois",17115,76.7,80030,2160 of 3143
"Cochise County, Arizona",04003,76.7,95923,2161 of 3143
"Harford County, Maryland",24025,76.6,198632,2162 of 3143
"Chatham County, North Carolina",37037,76.6,57518,2163 of 3143
"Hays County, Texas",48209,76.6,179703,2164 of 3143
"Jackson County, Arkansas",05067,76.6,12930,2164 of 3143
"Union County, North Carolina",37179,76.6,180545,2166 of 3143
"Pender County, North Carolina",37141,76.6,45930,2167 of 3143
"Yell County, Arkansas",05149,76.6,15688,2168 of 3143
"Pawnee County, Oklahoma",40117,76.6,12011,2169 of 3143
"Erie County, New York",36029,76.5,726768,2170 of 3143
"Skagway Municipality, Alaska",02230,76.5,1017,2171 of 3143
"Beadle County, South Dakota",46005,76.5,14506,2172 of 3143
"Craighead County, Arkansas",05031,76.5,84033,2173 of 3143
"Las Animas County, Colorado",08071,76.5,11113,2174 of 3143
"Deaf Smith County, Texas",48117,76.5,14279,2175 of 3143
"Ochiltree County, Texas",48357,76.4,7692,2176 of 3143
"Putnam County, Florida",12107,76.4,55904,2177 of 3143
"Owyhee County, Idaho",16073,76.4,9029,2178 of 3143
"Falls Church City, Virginia",51610,76.4,11075,2179 of 3143
"Atascosa County, Texas",48013,76.4,37188,2180 of 3143
"Frederick County, Maryland",24021,76.4,204273,2181 of 3143
"Beaver County, Oklahoma",40007,76.4,3894,2182 of 3143
"Kendall County, Illinois",17093,76.3,99830,2183 of 3143
"Hart County, Georgia",13147,76.3,19699,2184 of 3143
"Lynn County, Texas",48305,76.3,4264,2185 of 3143
"Humboldt County, California",06023,76.3,104538,2186 of 3143
"Suffolk County, New York",36103,76.3,1161380,2187 of 3143
"Bent County, Colorado",08011,76.2,4467,2188 of 3143
"El Paso County, Colorado",08041,76.2,550813,2189 of 3143
"Tipton County, Tennessee",47167,76.2,46381,2190 of 3143
"Pamlico County, North Carolina",37137,76.1,9358,2191 of 3143
"Lexington County, South Carolina",45063,76.1,222019,2192 of 3143
"Hall County, Georgia",13139,76.1,153496,2193 of 3143
"Refugio County, Texas",48391,76.1,5190,2194 of 3143
"Dawson County, Nebraska",31047,76,18265,2195 of 3143
"Salt Lake County, Utah",49035,76,891400,2196 of 3143
"Jasper County, Georgia",13159,76,10997,2197 of 3143
"Bibb County, Alabama",01007,75.9,17020,2198 of 3143
"Pontotoc County, Mississippi",28115,75.9,23638,2199 of 3143
"Allen County, Indiana",18003,75.9,289863,2200 of 3143
"Crockett County, Tennessee",47033,75.9,10635,2201 of 3143
"Jasper County, Texas",48241,75.8,25310,2202 of 3143
"Amherst County, Virginia",51009,75.8,23792,2203 of 3143
"Power County, Idaho",16077,75.8,5954,2204 of 3143
"Hall County, Nebraska",31079,75.8,47447,2205 of 3143
"Nantucket County, Massachusetts",25019,75.8,10453,2206 of 3143
"Kay County, Oklahoma",40071,75.8,33354,2207 of 3143
"Custer County, Oklahoma",40039,75.8,21641,2208 of 3143
"Okaloosa County, Florida",12091,75.7,158485,2209 of 3143
"Bradford County, Florida",12007,75.7,21143,2210 of 3143
"Austin County, Texas",48015,75.7,22810,2211 of 3143
"Walton County, Georgia",13297,75.7,72235,2212 of 3143
"Lassen County, California",06035,75.7,24933,2213 of 3143
"Burleson County, Texas",48051,75.6,13380,2214 of 3143
"Terry County, Texas",48445,75.6,9030,2215 of 3143
"Winkler County, Texas",48495,75.6,5765,2216 of 3143
"Elko County, Nevada",32007,75.6,40362,2217 of 3143
"Morrow County, Oregon",41049,75.6,9039,2218 of 3143
"Amelia County, Virginia",51007,75.5,9984,2219 of 3143
"Essex County, Massachusetts",25009,75.5,607416,2220 of 3143
"Freestone County, Texas",48161,75.5,14701,2221 of 3143
"Vernon Parish, Louisiana",22115,75.5,37029,2222 of 3143
"Wichita County, Texas",48485,75.5,97668,2223 of 3143
"Douglas County, Nebraska",31055,75.4,436389,2224 of 3143
"Marin County, California",06041,75.3,197622,2225 of 3143
"Victoria County, Texas",48469,75.3,68748,2226 of 3143
"St. Joseph County, Indiana",18141,75.3,204891,2227 of 3143
"Lipscomb County, Texas",48295,75.3,2363,2228 of 3143
"Quay County, New Mexico",35037,75.3,6531,2229 of 3143
"Dutchess County, New York",36027,75.3,222818,2230 of 3143
"Crowley County, Colorado",08025,75.2,4528,2231 of 3143
"Clay County, Florida",12019,75.2,162749,2232 of 3143
"King George County, Virginia",51099,75.2,20003,2233 of 3143
"St. Marys County, Maryland",24037,75.2,85113,2234 of 3143
"Autauga County, Alabama",01001,75.1,43755,2235 of 3143
"Rowan County, North Carolina",37159,75.1,109504,2236 of 3143
"Marion County, Oregon",41047,75.1,258281,2237 of 3143
"Karnes County, Texas",48255,75.1,11128,2238 of 3143
"Lamar County, Mississippi",28073,75.1,47748,2239 of 3143
"Pittsylvania County, Virginia",51143,75,45607,2240 of 3143
"Glenn County, California",06021,75,21496,2241 of 3143
"Calhoun County, Arkansas",05013,74.9,3602,2242 of 3143
"Calhoun County, Texas",48057,74.8,15235,2243 of 3143
"Allen Parish, Louisiana",22003,74.8,17268,2244 of 3143
"Foard County, Texas",48155,74.8,813,2245 of 3143
"Morgan County, Colorado",08087,74.8,21591,2246 of 3143
"Pershing County, Nevada",32027,74.8,4987,2247 of 3143
"Jackson County, Illinois",17077,74.8,40131,2248 of 3143
"Zavala County, Texas",48507,74.7,7396,2249 of 3143
"Washington County, Texas",48477,74.7,26561,2250 of 3143
"Elmore County, Alabama",01051,74.7,65060,2251 of 3143
"Southeast Fairbanks Census Area, Alaska",02240,74.7,5113,2252 of 3143
"Crawford County, Georgia",13079,74.6,9072,2253 of 3143
"Castro County, Texas",48069,74.6,5557,2254 of 3143
"Luna County, New Mexico",35029,74.6,18852,2255 of 3143
"Winnebago County, Illinois",17201,74.6,212858,2256 of 3143
"Conejos County, Colorado",08021,74.6,5651,2257 of 3143
"Chaves County, New Mexico",35005,74.5,48446,2258 of 3143
"Andrews County, Texas",48003,74.5,13549,2259 of 3143
"Cleveland County, Oklahoma",40027,74.5,217640,2260 of 3143
"Coweta County, Georgia",13077,74.5,107932,2261 of 3143
"Norfolk County, Massachusetts",25021,74.4,536335,2262 of 3143
"Glades County, Florida",12043,74.4,9070,2263 of 3143
"Pulaski County, Missouri",29169,74.4,39799,2264 of 3143
"Smith County, Mississippi",28129,74.4,10782,2265 of 3143
"Winchester City, Virginia",51840,74.4,20989,2266 of 3143
"Jeff Davis County, Georgia",13161,74.4,10979,2267 of 3143
"Sedgwick County, Kansas",20173,74.4,387243,2268 of 3143
"Hampden County, Massachusetts",25013,74.4,346903,2269 of 3143
"Forest County, Pennsylvania",42053,74.4,5295,2270 of 3143
"Wayne County, Georgia",13305,74.3,22386,2271 of 3143
"Yoakum County, Texas",48501,74.3,5727,2272 of 3143
"Multnomah County, Oregon",41051,74.3,601826,2273 of 3143
"Childress County, Texas",48075,74.3,5039,2274 of 3143
"Newton County, Texas",48351,74.2,9304,2275 of 3143
"Smith County, Texas",48423,74.2,171794,2276 of 3143
"Gaston County, North Carolina",37071,74.2,167832,2277 of 3143
"Torrance County, New Mexico",35057,74.2,11242,2278 of 3143
"Washington County, Oklahoma",40147,74.2,38866,2279 of 3143
"Lubbock County, Texas",48303,74.1,228742,2280 of 3143
"Stevens County, Kansas",20189,74.1,3943,2281 of 3143
"Santa Fe County, New Mexico",35049,74.1,113828,2282 of 3143
"Bee County, Texas",48025,74.1,23097,2283 of 3143
"Hale County, Texas",48189,74,24341,2284 of 3143
"Schenectady County, New York",36093,74,116591,2285 of 3143
"Inyo County, California",06027,74,13914,2286 of 3143
"Monroe County, Georgia",13207,73.9,20556,2287 of 3143
"Monroe County, New York",36055,73.9,559371,2288 of 3143
"Ellis County, Texas",48139,73.8,138798,2289 of 3143
"Rankin County, Mississippi",28121,73.8,115164,2290 of 3143
"Coffee County, Alabama",01031,73.8,39137,2291 of 3143
"Angelina County, Texas",48005,73.8,63882,2292 of 3143
"Pottawatomie County, Oklahoma",40125,73.8,53351,2293 of 3143
"Wharton County, Texas",48481,73.7,30676,2294 of 3143
"Genesee County, Michigan",26049,73.7,299607,2295 of 3143
"Rockingham County, North Carolina",37157,73.7,67003,2296 of 3143
"Albany County, New York",36001,73.7,231936,2297 of 3143
"Taylor County, Texas",48441,73.7,104458,2298 of 3143
"Columbia County, Florida",12023,73.7,51038,2299 of 3143
"Cameron County, Texas",48061,73.7,309784,2300 of 3143
"Murray County, Oklahoma",40099,73.6,10215,2301 of 3143
"Barrow County, Georgia",13013,73.6,60466,2302 of 3143
"Bryan County, Georgia",13029,73.6,31855,2303 of 3143
"Hardee County, Florida",12049,73.6,18865,2304 of 3143
"Cleveland County, North Carolina",37045,73.6,72743,2305 of 3143
"Cherokee County, South Carolina",45021,73.5,41308,2306 of 3143
"Pecos County, Texas",48371,73.5,11169,2307 of 3143
"Graham County, Arizona",04009,73.4,27983,2308 of 3143
"Cottle County, Texas",48101,73.3,1144,2309 of 3143
"Rutherford County, Tennessee",47149,73.3,246075,2310 of 3143
"Mackinac County, Michigan",26097,73.3,7929,2311 of 3143
"Lehigh County, Pennsylvania",42077,73.3,273083,2312 of 3143
"Midland County, Texas",48329,73.3,122405,2313 of 3143
"Little River County, Arkansas",05081,73.2,8864,2314 of 3143
"Morgan County, Georgia",13211,73.2,14422,2315 of 3143
"Orange County, North Carolina",37135,73.2,107887,2316 of 3143
"Colonial Heights City, Virginia",51570,73.2,13267,2317 of 3143
"Harrisonburg City, Virginia",51660,73.2,38096,2318 of 3143
"Saginaw County, Michigan",26145,73.1,139345,2319 of 3143
"Baraga County, Michigan",26013,73.1,6032,2320 of 3143
"Hamilton County, Tennessee",47065,73.1,265862,2321 of 3143
"Rusk County, Texas",48401,73.1,38398,2322 of 3143
"Pinal County, Arizona",04021,73.1,307365,2323 of 3143
"Alamosa County, Colorado",08003,73.1,11965,2324 of 3143
"Shelby County, Texas",48419,73,17717,2325 of 3143
"Lake County, California",06033,73,49473,2326 of 3143
"Monroe County, Pennsylvania",42089,73,122725,2327 of 3143
"Lancaster County, South Carolina",45057,73,69067,2328 of 3143
"Fairbanks North Star, Alaska",02090,73,70888,2329 of 3143
"Le Flore County, Oklahoma",40079,72.9,35333,2330 of 3143
"Oakland County, Michigan",26125,72.9,927800,2331 of 3143
"Cross County, Arkansas",05037,72.9,12351,2332 of 3143
"Middlesex County, Massachusetts",25017,72.9,1183913,2333 of 3143
"Ferry County, Washington",53019,72.9,5249,2334 of 3143
"Brazos County, Texas",48041,72.9,168520,2335 of 3143
"Taylor County, Florida",12123,72.9,15865,2336 of 3143
"Fayette County, Kentucky",21067,72.8,234096,2337 of 3143
"Rogers County, Oklahoma",40131,72.8,68917,2338 of 3143
"Calhoun County, Alabama",01015,72.8,84775,2339 of 3143
"Ingham County, Michigan",26065,72.8,207883,2340 of 3143
"Washington County, Arkansas",05143,72.8,176648,2341 of 3143
"Appling County, Georgia",13001,72.7,13452,2342 of 3143
"Forsyth County, Georgia",13117,72.6,178522,2343 of 3143
"Greene County, Mississippi",28041,72.6,9908,2344 of 3143
"DuPage County, Illinois",17043,72.6,677738,2345 of 3143
"Johnston County, North Carolina",37101,72.5,153298,2346 of 3143
"Cherokee County, Texas",48073,72.4,36606,2347 of 3143
"Perquimans County, North Carolina",37143,72.4,9410,2348 of 3143
"Chelan County, Washington",53007,72.3,56789,2349 of 3143
"York County, South Carolina",45091,72.3,199954,2350 of 3143
"Galveston County, Texas",48167,72.3,250882,2351 of 3143
"Nueces County, Texas",48355,72.3,255546,2352 of 3143
"York County, Virginia",51199,72.2,50311,2353 of 3143
"Marion County, Texas",48315,72.2,7040,2354 of 3143
"Wagoner County, Oklahoma",40145,72.2,58132,2355 of 3143
"Culpeper County, Virginia",51047,72.2,37553,2356 of 3143
"Frio County, Texas",48163,72.2,13300,2357 of 3143
"Mississippi County, Missouri",29133,72.1,9359,2358 of 3143
"Potter County, Texas",48375,72.1,85838,2359 of 3143
"Bryan County, Oklahoma",40013,72.1,33031,2360 of 3143
"Taos County, New Mexico",35055,72.1,24747,2361 of 3143
"Onslow County, North Carolina",37133,72.1,145281,2362 of 3143
"Washtenaw County, Michigan",26161,72,268216,2363 of 3143
"Jones County, Georgia",13169,72,20373,2364 of 3143
"Beaufort County, South Carolina",45013,72,133911,2365 of 3143
"Buena Vista County, Iowa",19021,72,14916,2366 of 3143
"Garza County, Texas",48169,72,4127,2367 of 3143
"Union County, Florida",12125,71.9,11610,2368 of 3143
"Finney County, Kansas",20055,71.9,27572,2369 of 3143
"Jackson County, Oklahoma",40065,71.9,17949,2370 of 3143
"Carroll County, Georgia",13045,71.9,85139,2371 of 3143
"McLennan County, Texas",48309,71.9,185534,2372 of 3143
"Culberson County, Texas",48109,71.9,1588,2373 of 3143
"Williamson County, Texas",48491,71.9,425221,2374 of 3143
"Henry County, Virginia",51089,71.8,36691,2375 of 3143
"Liberty County, Texas",48291,71.8,64613,2376 of 3143
"Paulding County, Georgia",13223,71.8,118940,2377 of 3143
"Wilbarger County, Texas",48487,71.8,9247,2378 of 3143
