Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Lincoln County, Minnesota",27081,2.0,41,"511 of 3143"
"Athens County, Ohio",39009,2.0,361,"510 of 3143"
"Russell County, Kansas",20167,2.0,46,"509 of 3143"
"Monroe County, Michigan",26115,2.0,1089,"508 of 3143"
"Bonner County, Idaho",16017,2.0,350,"507 of 3143"
"Logan County, Oklahoma",40083,2.0,325,"506 of 3143"
"Addison County, Vermont",50001,2.0,260,"505 of 3143"
"Butler County, Iowa",19023,2.0,101,"504 of 3143"
"Kittitas County, Washington",53037,2.0,282,"503 of 3143"
"Rooks County, Kansas",20163,2.0,35,"502 of 3143"
"Mercer County, Missouri",29129,2.0,24,"501 of 3143"
"Steuben County, Indiana",18151,2.0,239,"500 of 3143"
"Spencer County, Indiana",18147,2.0,145,"499 of 3143"
"Auglaize County, Ohio",39011,2.0,311,"498 of 3143"
"Sevier County, Utah",49041,2.0,138,"497 of 3143"
"Knox County, Maine",23013,2.0,305,"496 of 3143"
"Williams County, Ohio",39171,2.0,257,"495 of 3143"
"Cambria County, Pennsylvania",42021,2.0,943,"494 of 3143"
"Shelby County, Alabama",01117,2.0,1449,"493 of 3143"
"Silver Bow County, Montana",30093,2.0,244,"492 of 3143"
"Grand Traverse County, Michigan",26055,2.0,666,"491 of 3143"
"Portage County, Ohio",39133,2.0,1049,"490 of 3143"
"Lyon County, Kentucky",21143,2.0,76,"489 of 3143"
"Lapeer County, Michigan",26087,2.0,644,"488 of 3143"
"Sac County, Iowa",19161,2.0,68,"487 of 3143"
"Carroll County, Maryland",24013,2.0,1173,"486 of 3143"
"Laramie County, Wyoming",56021,2.0,680,"485 of 3143"
"Sawyer County, Wisconsin",55113,2.0,135,"484 of 3143"
"Belmont County, Ohio",39013,2.0,498,"483 of 3143"
"Jefferson County, Missouri",29099,2.0,1534,"482 of 3143"
"Douglas County, Nevada",32005,2.0,379,"481 of 3143"
"Lincoln County, Missouri",29113,2.0,386,"480 of 3143"
"Cole County, Missouri",29051,2.0,537,"479 of 3143"
"Anchorage Borough, Alaska",02020,2.0,1926,"478 of 3143"
"Stone County, Missouri",29209,2.0,232,"477 of 3143"
"Madison County, Illinois",17119,2.0,1764,"476 of 3143"
"Fayette County, Georgia",13113,2.0,755,"475 of 3143"
"Fremont County, Wyoming",56013,2.0,257,"474 of 3143"
"Putnam County, Ohio",39137,2.0,225,"473 of 3143"
"Big Horn County, Montana",30003,2.0,69,"472 of 3143"
"Saline County, Kansas",20169,2.0,352,"471 of 3143"
"St. Clair County, Illinois",17163,2.0,1636,"470 of 3143"
"Houston County, Minnesota",27055,2.0,131,"469 of 3143"
"Columbia County, Wisconsin",55021,2.0,419,"468 of 3143"
"Foster County, North Dakota",38031,2.0,24,"467 of 3143"
"Gogebic County, Michigan",26053,2.0,117,"466 of 3143"
"Garrett County, Maryland",24023,2.0,207,"465 of 3143"
"Dubuque County, Iowa",19061,2.0,633,"464 of 3143"
"Randall County, Texas",48381,2.0,871,"463 of 3143"
"Wichita County, Kansas",20203,2.0,15,"462 of 3143"
"Franklin County, Massachusetts",25011,2.0,505,"461 of 3143"
"Bottineau County, North Dakota",38009,1.9,44,"460 of 3143"
"Clatsop County, Oregon",41007,1.9,286,"458 of 3143"
"Paulding County, Ohio",39125,1.9,126,"458 of 3143"
"Clay County, Missouri",29047,1.9,1604,"456 of 3143"
"Sheboygan County, Wisconsin",55117,1.9,801,"456 of 3143"
"Lafayette County, Missouri",29107,1.9,216,"455 of 3143"
"Hill County, Montana",30041,1.9,100,"454 of 3143"
"Granite County, Montana",30039,1.9,25,"453 of 3143"
"Crook County, Oregon",41013,1.9,175,"452 of 3143"
"Grant County, Arkansas",05053,1.9,119,"451 of 3143"
"Thomas County, Kansas",20193,1.9,48,"450 of 3143"
"Winnebago County, Wisconsin",55139,1.9,1138,"449 of 3143"
"Menominee County, Michigan",26109,1.9,173,"448 of 3143"
"Montgomery County, Virginia",51121,1.9,542,"447 of 3143"
"Mackinac County, Michigan",26097,1.9,82,"446 of 3143"
"Bucks County, Pennsylvania",42017,1.9,4340,"445 of 3143"
"Erie County, Ohio",39043,1.9,508,"444 of 3143"
"Tompkins County, New York",36109,1.9,576,"443 of 3143"
"Thurston County, Washington",53067,1.9,1907,"442 of 3143"
"Ellis County, Kansas",20051,1.9,170,"441 of 3143"
"Calumet County, Wisconsin",55015,1.9,347,"440 of 3143"
"Burt County, Nebraska",31021,1.9,44,"439 of 3143"
"Greenlee County, Arizona",04011,1.9,58,"438 of 3143"
"Delta County, Michigan",26041,1.9,260,"437 of 3143"
"Clark County, Illinois",17023,1.9,102,"436 of 3143"
"Fairbanks North Star, Alaska",02090,1.9,624,"435 of 3143"
"Dakota County, Minnesota",27037,1.9,2752,"434 of 3143"
"Clinton County, Iowa",19045,1.9,305,"433 of 3143"
"Lee County, Georgia",13177,1.9,202,"432 of 3143"
"Warren County, Ohio",39165,1.9,1544,"431 of 3143"
"Floyd County, Indiana",18043,1.9,500,"430 of 3143"
"Alpena County, Michigan",26007,1.9,201,"429 of 3143"
"Buffalo County, Wisconsin",55011,1.9,95,"428 of 3143"
"Worcester County, Maryland",24047,1.9,363,"427 of 3143"
"Clay County, Minnesota",27027,1.9,373,"425 of 3143"
"Mesa County, Colorado",08077,1.9,1003,"425 of 3143"
"Placer County, California",06061,1.9,2575,"424 of 3143"
"Midland County, Michigan",26111,1.9,545,"423 of 3143"
"Sterling County, Texas",48431,1.9,7,"422 of 3143"
"Cotton County, Oklahoma",40033,1.9,35,"421 of 3143"
"Gloucester County, New Jersey",34015,1.9,1891,"420 of 3143"
"Flagler County, Florida",12035,1.9,788,"419 of 3143"
"Edwards County, Illinois",17047,1.9,41,"417 of 3143"
"Essex County, Vermont",50009,1.9,43,"417 of 3143"
"Dawes County, Nebraska",31045,1.9,47,"416 of 3143"
"Kendall County, Illinois",17093,1.9,763,"415 of 3143"
"Outagamie County, Wisconsin",55087,1.9,1204,"414 of 3143"
"Benewah County, Idaho",16009,1.9,64,"413 of 3143"
"Rock County, Minnesota",27133,1.9,59,"412 of 3143"
"El Dorado County, California",06017,1.9,1298,"411 of 3143"
"Red Willow County, Nebraska",31145,1.9,66,"410 of 3143"
"Lamoille County, Vermont",50015,1.9,172,"409 of 3143"
"Wood County, Ohio",39173,1.9,757,"408 of 3143"
"Nuckolls County, Nebraska",31129,1.9,28,"407 of 3143"
"Archuleta County, Colorado",08007,1.9,95,"406 of 3143"
"Barnstable County, Massachusetts",25001,1.9,1566,"405 of 3143"
"Sangamon County, Illinois",17167,1.9,1207,"404 of 3143"
"Lincoln County, Maine",23015,1.9,241,"403 of 3143"
"Otsego County, Michigan",26137,1.9,166,"402 of 3143"
"Kingman County, Kansas",20095,1.9,49,"401 of 3143"
"Baker County, Oregon",41001,1.9,115,"400 of 3143"
"Matanuska-Susitna Borough, Alaska",02170,1.9,675,"399 of 3143"
"Champaign County, Illinois",17019,1.9,1085,"398 of 3143"
"Miami County, Kansas",20121,1.8,214,"397 of 3143"
"Natrona County, Wyoming",56025,1.8,503,"396 of 3143"
"Skamania County, Washington",53059,1.8,83,"395 of 3143"
"Anoka County, Minnesota",27003,1.8,2263,"394 of 3143"
"Washington County, Vermont",50023,1.8,379,"393 of 3143"
"Carver County, Minnesota",27019,1.8,628,"392 of 3143"
"Mills County, Iowa",19129,1.8,94,"391 of 3143"
"Meeker County, Minnesota",27093,1.8,148,"390 of 3143"
"Harford County, Maryland",24025,1.8,1593,"389 of 3143"
"Henderson County, Illinois",17071,1.8,44,"388 of 3143"
"Union County, Indiana",18161,1.8,47,"387 of 3143"
"Boone County, Nebraska",31011,1.8,34,"386 of 3143"
"Spokane County, Washington",53063,1.8,3283,"385 of 3143"
"Iron County, Utah",49021,1.8,288,"384 of 3143"
"Olmsted County, Minnesota",27109,1.8,960,"383 of 3143"
"Jones County, Iowa",19105,1.8,140,"382 of 3143"
"Ringgold County, Iowa",19159,1.8,28,"381 of 3143"
"Towns County, Georgia",13281,1.8,77,"380 of 3143"
"Hancock County, Maine",23009,1.8,367,"379 of 3143"
"Stanton County, Nebraska",31167,1.8,36,"378 of 3143"
"Richardson County, Nebraska",31147,1.8,51,"377 of 3143"
"Sheridan County, Wyoming",56033,1.8,196,"376 of 3143"
"Saunders County, Nebraska",31155,1.8,137,"375 of 3143"
"Scott County, Iowa",19163,1.8,1042,"374 of 3143"
"Brown County, Nebraska",31017,1.8,18,"373 of 3143"
"Oakland County, Michigan",26125,1.8,7924,"372 of 3143"
"Barry County, Michigan",26015,1.8,392,"371 of 3143"
"Hyde County, North Carolina",37095,1.8,34,"370 of 3143"
"Powell County, Montana",30077,1.8,64,"369 of 3143"
"Cumberland County, Maine",23005,1.8,1892,"368 of 3143"
"Dawson County, Montana",30021,1.8,60,"367 of 3143"
"Yellowstone County, Montana",30111,1.8,980,"366 of 3143"
"Burnett County, Wisconsin",55013,1.8,115,"365 of 3143"
"Scott County, Minnesota",27139,1.8,863,"364 of 3143"
"Comanche County, Kansas",20033,1.8,11,"363 of 3143"
"Chittenden County, Vermont",50007,1.8,966,"362 of 3143"
"Decatur County, Kansas",20039,1.8,18,"361 of 3143"
"Grand Forks County, North Dakota",38035,1.8,400,"360 of 3143"
"Utah County, Utah",49049,1.8,2913,"359 of 3143"
"Brewster County, Texas",48043,1.8,64,"358 of 3143"
"Seneca County, Ohio",39147,1.8,329,"357 of 3143"
"Sargent County, North Dakota",38081,1.8,27,"355 of 3143"
"St. Clair County, Michigan",26147,1.8,996,"355 of 3143"
"York County, Maine",23031,1.8,1329,"354 of 3143"
"Lincoln County, South Dakota",46083,1.8,354,"353 of 3143"
"Cameron County, Pennsylvania",42023,1.8,31,"352 of 3143"
"Des Moines County, Iowa",19057,1.8,231,"351 of 3143"
"Clearwater County, Idaho",16035,1.8,67,"350 of 3143"
"Treasure County, Montana",30103,1.8,5,"349 of 3143"
"Montgomery County, Indiana",18107,1.8,224,"348 of 3143"
"Camden County, Georgia",13039,1.8,301,"347 of 3143"
"Kenai Peninsula Borough, Alaska",02122,1.7,378,"346 of 3143"
"Boone County, Iowa",19015,1.7,165,"345 of 3143"
"Hardin County, Kentucky",21093,1.7,619,"344 of 3143"
"Clinton County, Michigan",26037,1.7,467,"343 of 3143"
"Licking County, Ohio",39089,1.7,1014,"342 of 3143"
"Jewell County, Kansas",20089,1.7,19,"341 of 3143"
"Lake County, Minnesota",27075,1.7,72,"340 of 3143"
"Fremont County, Iowa",19071,1.7,41,"339 of 3143"
"Queen Annes County, Maryland",24035,1.7,303,"338 of 3143"
"Wyoming County, Pennsylvania",42131,1.7,164,"337 of 3143"
"Salem City, Virginia",51775,1.7,139,"336 of 3143"
"Le Sueur County, Minnesota",27079,1.7,171,"335 of 3143"
"Garden County, Nebraska",31069,1.7,11,"334 of 3143"
"Ketchikan Gateway Borough, Alaska",02130,1.7,87,"333 of 3143"
"Beaverhead County, Montana",30001,1.7,54,"332 of 3143"
"Oneida County, Wisconsin",55085,1.7,247,"331 of 3143"
"Lamar County, Georgia",13171,1.7,99,"330 of 3143"
"Hancock County, Indiana",18059,1.7,455,"329 of 3143"
"Ashland County, Wisconsin",55003,1.7,94,"328 of 3143"
"Christian County, Missouri",29043,1.7,487,"327 of 3143"
"Adams County, Illinois",17001,1.7,382,"326 of 3143"
"Goodhue County, Minnesota",27049,1.7,282,"325 of 3143"
"Roscommon County, Michigan",26143,1.7,160,"324 of 3143"
"Josephine County, Oregon",41033,1.7,535,"323 of 3143"
"Hampshire County, Massachusetts",25015,1.7,802,"322 of 3143"
"Jersey County, Illinois",17083,1.7,124,"321 of 3143"
"Eaton County, Michigan",26045,1.7,636,"320 of 3143"
"Greene County, Ohio",39057,1.7,938,"319 of 3143"
"Jefferson County, Ohio",39081,1.7,380,"318 of 3143"
"Kalamazoo County, Michigan",26077,1.7,1350,"317 of 3143"
"Osage County, Kansas",20139,1.7,91,"316 of 3143"
"Washington County, Pennsylvania",42125,1.7,1242,"315 of 3143"
"Sarpy County, Nebraska",31153,1.7,1012,"314 of 3143"
"Brown County, Indiana",18013,1.7,99,"313 of 3143"
"St. Louis County, Minnesota",27137,1.7,1156,"312 of 3143"
"Isanti County, Minnesota",27059,1.7,237,"311 of 3143"
"Marion County, West Virginia",54049,1.7,318,"310 of 3143"
"Yakutat City and Borough, Alaska",02282,1.7,4,"309 of 3143"
"Ida County, Iowa",19093,1.7,39,"308 of 3143"
"Benton County, Oregon",41003,1.7,476,"307 of 3143"
"Iosco County, Michigan",26069,1.7,163,"306 of 3143"
"Ohio County, West Virginia",54069,1.7,237,"305 of 3143"
"Worth County, Iowa",19195,1.7,46,"304 of 3143"
"Williamson County, Tennessee",47187,1.7,1271,"303 of 3143"
"Meagher County, Montana",30059,1.7,13,"302 of 3143"
"Dickinson County, Kansas",20041,1.7,107,"301 of 3143"
"Windsor County, Vermont",50027,1.7,345,"300 of 3143"
"Beaver County, Pennsylvania",42007,1.7,982,"299 of 3143"
"Susquehanna County, Pennsylvania",42115,1.7,240,"298 of 3143"
"Warrick County, Indiana",18173,1.7,353,"297 of 3143"
"Union County, Oregon",41061,1.6,141,"296 of 3143"
"Stanley County, South Dakota",46117,1.6,20,"295 of 3143"
"Geary County, Kansas",20061,1.6,168,"294 of 3143"
"Douglas County, Minnesota",27041,1.6,228,"293 of 3143"
"Custer County, Montana",30017,1.6,68,"292 of 3143"
"St. Louis County, Missouri",29189,1.6,5292,"291 of 3143"
"Washington County, Rhode Island",44009,1.6,712,"290 of 3143"
"Linn County, Kansas",20107,1.6,57,"289 of 3143"
"Darke County, Ohio",39037,1.6,282,"288 of 3143"
"Ada County, Idaho",16001,1.6,2690,"287 of 3143"
"Oliver County, North Dakota",38065,1.6,11,"286 of 3143"
"Juneau Borough, Alaska",02110,1.6,187,"285 of 3143"
"Tazewell County, Illinois",17179,1.6,727,"284 of 3143"
"McLeod County, Minnesota",27085,1.6,203,"283 of 3143"
"Routt County, Colorado",08107,1.6,157,"282 of 3143"
"Monongalia County, West Virginia",54061,1.6,546,"281 of 3143"
"Richland County, Illinois",17159,1.6,86,"280 of 3143"
"Allegheny County, Pennsylvania",42003,1.6,6935,"279 of 3143"
"Van Wert County, Ohio",39161,1.6,156,"278 of 3143"
"Elbert County, Colorado",08039,1.6,149,"277 of 3143"
"Palo Alto County, Iowa",19147,1.6,49,"276 of 3143"
"Wabash County, Illinois",17185,1.6,63,"275 of 3143"
"Monroe County, Indiana",18105,1.6,637,"274 of 3143"
"Phillips County, Montana",30071,1.6,23,"273 of 3143"
"McKenzie County, North Dakota",38053,1.6,71,"272 of 3143"
"Lyman County, South Dakota",46085,1.6,19,"271 of 3143"
"Rush County, Kansas",20165,1.6,16,"270 of 3143"
"St. Johns County, Florida",12109,1.6,1436,"269 of 3143"
"Cleveland County, Arkansas",05025,1.6,41,"268 of 3143"
"Plumas County, California",06063,1.6,119,"267 of 3143"
"Union County, South Dakota",46127,1.6,89,"266 of 3143"
"Elk County, Pennsylvania",42047,1.6,180,"265 of 3143"
"Coffey County, Kansas",20031,1.6,45,"264 of 3143"
"Hayes County, Nebraska",31085,1.6,5,"262 of 3143"
"Washtenaw County, Michigan",26161,1.6,1798,"262 of 3143"
"Hancock County, Ohio",39063,1.6,397,"261 of 3143"
"Dewey County, Oklahoma",40043,1.6,22,"260 of 3143"
"Lexington City, Virginia",51678,1.6,25,"259 of 3143"
"Nevada County, California",06057,1.6,596,"258 of 3143"
"Belknap County, New Hampshire",33001,1.6,361,"257 of 3143"
"Johnson County, Kansas",20091,1.6,3090,"256 of 3143"
"Carbon County, Montana",30009,1.5,63,"255 of 3143"
"Sandusky County, Ohio",39143,1.5,316,"254 of 3143"
"Dane County, Wisconsin",55025,1.5,2808,"253 of 3143"
"Wells County, Indiana",18179,1.5,141,"252 of 3143"
"Kewaunee County, Wisconsin",55061,1.5,114,"251 of 3143"
"Wright County, Minnesota",27171,1.5,701,"250 of 3143"
"Calhoun County, Illinois",17013,1.5,26,"249 of 3143"
"Williams County, North Dakota",38105,1.5,201,"248 of 3143"
"Rich County, Utah",49033,1.5,12,"247 of 3143"
"Sherburne County, Minnesota",27141,1.5,488,"246 of 3143"
"Franklin County, Maine",23007,1.5,161,"245 of 3143"
"Emmet County, Michigan",26047,1.5,184,"244 of 3143"
"Valdez-Cordova Census Area, Alaska",02261,1.5,53,"243 of 3143"
"Nicollet County, Minnesota",27103,1.5,170,"242 of 3143"
"Columbia County, Georgia",13073,1.5,743,"241 of 3143"
"Davis County, Utah",49011,1.5,1574,"240 of 3143"
"Prince of Wales-Hyder Census Area, Alaska",02198,1.5,35,"239 of 3143"
"Corson County, South Dakota",46031,1.5,16,"238 of 3143"
"Dunn County, Wisconsin",55033,1.5,209,"237 of 3143"
"Dallas County, Iowa",19049,1.5,464,"236 of 3143"
"Cheyenne County, Kansas",20023,1.5,14,"235 of 3143"
"Henry County, Ohio",39069,1.5,140,"234 of 3143"
"De Witt County, Illinois",17039,1.5,84,"233 of 3143"
"Calhoun County, Iowa",19025,1.5,54,"232 of 3143"
"Polk County, Wisconsin",55095,1.5,244,"231 of 3143"
"Sheridan County, Kansas",20179,1.5,13,"230 of 3143"
"Riley County, Kansas",20161,1.5,280,"229 of 3143"
"Iowa County, Iowa",19095,1.5,85,"228 of 3143"
"Pulaski County, Missouri",29169,1.5,231,"227 of 3143"
"Hendricks County, Indiana",18063,1.5,834,"226 of 3143"
"Grand County, Colorado",08049,1.5,93,"225 of 3143"
"Wayne County, Nebraska",31179,1.5,40,"224 of 3143"
"Rio Blanco County, Colorado",08103,1.5,32,"223 of 3143"
"Woodford County, Illinois",17203,1.5,186,"222 of 3143"
"Webster County, Iowa",19187,1.5,186,"221 of 3143"
"Missoula County, Montana",30063,1.4,579,"220 of 3143"
"Fergus County, Montana",30027,1.4,64,"219 of 3143"
"Logan County, Colorado",08075,1.4,124,"218 of 3143"
"Miami County, Ohio",39109,1.4,528,"217 of 3143"
"Linn County, Iowa",19113,1.4,1091,"216 of 3143"
"Marshall County, Illinois",17123,1.4,61,"215 of 3143"
"Ontonagon County, Michigan",26131,1.4,36,"214 of 3143"
"Iron County, Michigan",26071,1.4,64,"213 of 3143"
"Southeast Fairbanks Census Area, Alaska",02240,1.4,37,"212 of 3143"
"Jasper County, Indiana",18073,1.4,159,"211 of 3143"
"Trego County, Kansas",20195,1.4,15,"210 of 3143"
"Westmoreland County, Pennsylvania",42129,1.4,1824,"209 of 3143"
"Crook County, Wyoming",56011,1.4,37,"208 of 3143"
"Pennington County, South Dakota",46103,1.4,528,"207 of 3143"
"Bannock County, Idaho",16005,1.4,386,"206 of 3143"
"Park County, Montana",30067,1.4,94,"205 of 3143"
"Larimer County, Colorado",08069,1.4,1662,"204 of 3143"
"Grand County, Utah",49019,1.4,48,"203 of 3143"
"Niobrara County, Wyoming",56027,1.4,12,"202 of 3143"
"Virginia Beach City, Virginia",51810,1.4,2119,"201 of 3143"
"Douglas County, Wisconsin",55031,1.4,221,"200 of 3143"
"Powder River County, Montana",30075,1.4,9,"199 of 3143"
"Warren County, Indiana",18171,1.4,42,"198 of 3143"
"Cass County, North Dakota",38017,1.4,819,"197 of 3143"
"Sussex County, New Jersey",34037,1.4,719,"196 of 3143"
"Brooke County, West Virginia",54009,1.4,110,"195 of 3143"
"McLean County, Illinois",17113,1.4,700,"194 of 3143"
"Idaho County, Idaho",16049,1.4,88,"193 of 3143"
"Greenwood County, Kansas",20073,1.4,30,"192 of 3143"
"Rockingham County, New Hampshire",33015,1.4,1548,"191 of 3143"
"Goshen County, Wyoming",56015,1.4,64,"190 of 3143"
"Logan County, Ohio",39091,1.4,213,"189 of 3143"
"Garfield County, Nebraska",31071,1.4,9,"188 of 3143"
"Carroll County, New Hampshire",33003,1.3,262,"187 of 3143"
"Wrangell Borough, Alaska",02275,1.3,12,"186 of 3143"
"La Crosse County, Wisconsin",55063,1.3,511,"185 of 3143"
"Leelanau County, Michigan",26089,1.3,113,"184 of 3143"
"Wallowa County, Oregon",41063,1.3,36,"183 of 3143"
"Jefferson County, Colorado",08059,1.3,2805,"182 of 3143"
"Pike County, Pennsylvania",42103,1.3,289,"181 of 3143"
"Pope County, Minnesota",27121,1.3,54,"180 of 3143"
"Custer County, Colorado",08027,1.3,23,"179 of 3143"
"Menard County, Illinois",17129,1.3,55,"178 of 3143"
"Washington County, Minnesota",27163,1.3,1152,"177 of 3143"
"Pennington County, Minnesota",27113,1.3,62,"176 of 3143"
"Boyd County, Nebraska",31015,1.3,9,"175 of 3143"
"Goochland County, Virginia",51075,1.3,116,"174 of 3143"
"Harris County, Georgia",13145,1.3,154,"173 of 3143"
"Lac qui Parle County, Minnesota",27073,1.3,32,"172 of 3143"
"Charlevoix County, Michigan",26029,1.3,125,"171 of 3143"
"Sumner County, Kansas",20191,1.3,98,"170 of 3143"
"Jackson County, Kansas",20085,1.3,57,"169 of 3143"
"Shelby County, Illinois",17173,1.3,95,"168 of 3143"
"Pocahontas County, Iowa",19151,1.3,32,"167 of 3143"
"Scott County, Illinois",17171,1.3,22,"166 of 3143"
"Boone County, Indiana",18011,1.3,290,"165 of 3143"
"Door County, Wisconsin",55029,1.3,145,"164 of 3143"
"Hoonah-Angoon Census Area, Alaska",02105,1.3,14,"163 of 3143"
"Guthrie County, Iowa",19077,1.3,48,"162 of 3143"
"Audubon County, Iowa",19009,1.3,25,"161 of 3143"
"Rock County, Nebraska",31149,1.3,6,"160 of 3143"
"Grundy County, Iowa",19075,1.3,54,"159 of 3143"
"Rawlins County, Kansas",20153,1.3,12,"158 of 3143"
"Brown County, Kansas",20013,1.3,40,"157 of 3143"
"Calvert County, Maryland",24009,1.3,392,"155 of 3143"
"Clay County, Kansas",20027,1.3,35,"155 of 3143"
"Medina County, Ohio",39103,1.2,780,"154 of 3143"
"Sully County, South Dakota",46119,1.2,7,"153 of 3143"
"Latah County, Idaho",16057,1.2,148,"152 of 3143"
"Fallon County, Montana",30025,1.2,13,"151 of 3143"
"Brookings County, South Dakota",46011,1.2,119,"150 of 3143"
"Washington County, Wisconsin",55131,1.2,593,"149 of 3143"
"Albany County, Wyoming",56001,1.2,139,"148 of 3143"
"Fairfield County, Ohio",39045,1.2,645,"147 of 3143"
"La Plata County, Colorado",08067,1.2,246,"146 of 3143"
"Johnson County, Wyoming",56019,1.2,37,"145 of 3143"
"Clinton County, Missouri",29049,1.2,88,"144 of 3143"
"Pend Oreille County, Washington",53051,1.2,60,"143 of 3143"
"Kitsap County, Washington",53035,1.2,1167,"142 of 3143"
"Crowley County, Colorado",08025,1.2,36,"141 of 3143"
"Meade County, South Dakota",46093,1.2,121,"140 of 3143"
"Cerro Gordo County, Iowa",19033,1.2,180,"139 of 3143"
"Marquette County, Michigan",26103,1.2,273,"138 of 3143"
"Nance County, Nebraska",31125,1.2,14,"137 of 3143"
"Keokuk County, Iowa",19107,1.2,42,"136 of 3143"
"York County, Virginia",51199,1.2,271,"135 of 3143"
"Adair County, Iowa",19001,1.2,31,"134 of 3143"
"Emery County, Utah",49015,1.2,36,"133 of 3143"
"St. Charles County, Missouri",29183,1.2,1573,"132 of 3143"
"Kootenai County, Idaho",16055,1.2,672,"131 of 3143"
"James City County, Virginia",51095,1.2,312,"130 of 3143"
"Bayfield County, Wisconsin",55007,1.2,73,"129 of 3143"
"Mercer County, Ohio",39107,1.2,161,"128 of 3143"
"Whitman County, Washington",53075,1.2,142,"127 of 3143"
"Price County, Wisconsin",55099,1.1,63,"126 of 3143"
"Hubbard County, Minnesota",27057,1.1,89,"125 of 3143"
"Adams County, North Dakota",38001,1.1,9,"124 of 3143"
"Ellsworth County, Kansas",20053,1.1,29,"123 of 3143"
"San Juan County, Washington",53055,1.1,79,"122 of 3143"
"Bremer County, Iowa",19017,1.1,90,"121 of 3143"
"Smith County, Kansas",20183,1.1,15,"120 of 3143"
"Crow Wing County, Minnesota",27035,1.1,262,"119 of 3143"
"Steele County, North Dakota",38091,1.1,8,"118 of 3143"
"Warren County, Iowa",19181,1.1,183,"117 of 3143"
"Butler County, Pennsylvania",42019,1.1,744,"116 of 3143"
"Island County, Washington",53029,1.1,331,"115 of 3143"
"Flathead County, Montana",30029,1.1,393,"114 of 3143"
"Dodge County, Minnesota",27039,1.1,74,"113 of 3143"
"Chisago County, Minnesota",27025,1.1,218,"112 of 3143"
"Webster County, Nebraska",31181,1.1,13,"111 of 3143"
"Grant County, Oklahoma",40053,1.1,15,"110 of 3143"
"McDonough County, Illinois",17109,1.1,84,"109 of 3143"
"Waukesha County, Wisconsin",55133,1.1,1481,"108 of 3143"
"Hughes County, South Dakota",46065,1.0,63,"107 of 3143"
"Washakie County, Wyoming",56043,1.0,28,"106 of 3143"
"Mineral County, West Virginia",54057,1.0,100,"105 of 3143"
"Union County, Ohio",39159,1.0,205,"104 of 3143"
"Oconee County, Georgia",13219,1.0,131,"103 of 3143"
"Pierce County, Wisconsin",55093,1.0,137,"102 of 3143"
"Hancock County, Illinois",17067,1.0,64,"101 of 3143"
"Sherman County, Kansas",20181,1.0,18,"100 of 3143"
"Livingston County, Michigan",26093,1.0,675,"99 of 3143"
"Daggett County, Utah",49009,1.0,2,"98 of 3143"
"Iowa County, Wisconsin",55049,1.0,82,"97 of 3143"
"Lewis and Clark County, Montana",30049,1.0,237,"96 of 3143"
"Madison County, Montana",30057,1.0,34,"95 of 3143"
"Vilas County, Wisconsin",55125,1.0,87,"94 of 3143"
"Gunnison County, Colorado",08051,1.0,56,"93 of 3143"
"Park County, Wyoming",56029,1.0,100,"92 of 3143"
"Hamilton County, Indiana",18057,1.0,1026,"91 of 3143"
"Stillwater County, Montana",30095,0.9,31,"90 of 3143"
"Lawrence County, South Dakota",46081,0.9,84,"89 of 3143"
"Windham County, Vermont",50025,0.9,150,"88 of 3143"
"Lincoln County, Wyoming",56023,0.9,60,"87 of 3143"
"Holt County, Missouri",29087,0.9,14,"86 of 3143"
"Itasca County, Minnesota",27061,0.9,148,"85 of 3143"
"Douglas County, Colorado",08035,0.9,1057,"84 of 3143"
"Lincoln County, Kansas",20105,0.9,9,"83 of 3143"
"Pitkin County, Colorado",08097,0.9,62,"82 of 3143"
"Park County, Colorado",08093,0.9,65,"81 of 3143"
"Marshall County, West Virginia",54051,0.9,100,"80 of 3143"
"Broomfield County, Colorado",08014,0.9,222,"79 of 3143"
"Valley County, Idaho",16085,0.9,39,"78 of 3143"
"Loup County, Nebraska",31115,0.9,2,"77 of 3143"
"Clay County, Iowa",19041,0.8,46,"76 of 3143"
"Garfield County, Washington",53023,0.8,7,"75 of 3143"
"Cherry County, Nebraska",31031,0.8,16,"74 of 3143"
"St. Croix County, Wisconsin",55109,0.8,257,"73 of 3143"
"Dickinson County, Iowa",19059,0.8,52,"72 of 3143"
"Wabaunsee County, Kansas",20197,0.8,19,"71 of 3143"
"Denali, Alaska",02068,0.8,7,"70 of 3143"
"Boise County, Idaho",16015,0.8,24,"69 of 3143"
"Delaware County, Ohio",39041,0.8,539,"68 of 3143"
"Gallatin County, Montana",30031,0.8,302,"67 of 3143"
"Platte County, Missouri",29165,0.8,266,"66 of 3143"
"Monroe County, Illinois",17133,0.7,88,"65 of 3143"
"Hamilton County, Nebraska",31081,0.7,23,"64 of 3143"
"Douglas County, Kansas",20045,0.7,249,"62 of 3143"
"Ozaukee County, Wisconsin",55089,0.7,223,"62 of 3143"
"Crockett County, Texas",48105,0.7,8,"61 of 3143"
"Kiowa County, Colorado",08061,0.7,3,"60 of 3143"
"Dickinson County, Michigan",26043,0.7,67,"59 of 3143"
